Cell_ID,cell_name,Patient_Old,Patient,TSSEnrichment,ReadsInTSS,ReadsInPromoter,ReadsInBlacklist,PromoterRatio,PassQC,NucleosomeRatio,nMultiFrags,nMonoFrags,nFrags,nDiFrags,BlacklistRatio,Location,ReadsInPeaks,FRIP,Clusters_type
COAD15#COAD15_C2_CB_34_226,COAD15_C2_CB_34_226,COAD15,P10,5.31,87634,129644,22020,0.075786131,1,5.211893211,0,137692,855328,717636,0.012872255,Cancer,574653,0.335987189,Epithelial
COAD15#COAD15_C2_BC_72_168,COAD15_C2_BC_72_168,COAD15,P10,5.718,83025,111576,27494,0.067140199,1,3.61515988,0,180041,830918,650877,0.016544352,Cancer,441343,0.265611346,Epithelial
COAD15#COAD15_C2_D_91_379,COAD15_C2_D_91_379,COAD15,P10,6.377,90642,118307,24758,0.073423505,1,5.343784941,0,126998,805648,678650,0.015365271,Cancer,425144,0.263898717,Epithelial
COAD15#COAD15_C2_BC_18_114,COAD15_C2_BC_18_114,COAD15,P10,6.392,83169,110387,23084,0.072691892,1,5.622359447,0,114654,759280,644626,0.015201243,Cancer,441300,0.290683888,Epithelial
COAD15#COAD15_C2_BC_59_155,COAD15_C2_BC_59_155,COAD15,P10,5.014,68914,101315,23723,0.066824392,1,6.522167537,0,100778,758069,657291,0.015646993,Cancer,408616,0.269571539,Epithelial
COAD15#COAD15_C2_D_78_366,COAD15_C2_D_78_366,COAD15,P10,6.991,109005,144121,20956,0.097798,1,5.024233307,0,122311,736830,614519,0.014220376,Cancer,527586,0.358066552,Epithelial
COAD15#COAD15_C2_D_28_316,COAD15_C2_D_28_316,COAD15,P10,5.643,73152,100495,19723,0.070434332,1,5.680604199,0,106786,713395,606609,0.013823338,Cancer,393308,0.275716934,Epithelial
COAD15#COAD15_C2_BC_28_124,COAD15_C2_BC_28_124,COAD15,P10,5.416,69091,96315,23077,0.067549465,1,5.662386573,0,107007,712922,605915,0.0161848,Cancer,381254,0.267544789,Epithelial
COAD15#COAD15_C1_A_59_59,COAD15_C1_A_59_59,COAD15,P10,5.634,99323,139999,21115,0.098667556,1,6.56688034,0,93757,709448,615691,0.014881288,Cancer,464353,0.327311111,Epithelial
COAD15#COAD15_C2_CB_55_247,COAD15_C2_CB_55_247,COAD15,P10,6.049,76512,104711,21250,0.074049794,1,5.643030292,0,106432,707031,600599,0.01502763,Cancer,426668,0.301778697,Epithelial
COAD15#COAD15_C2_BC_60_156,COAD15_C2_BC_60_156,COAD15,P10,5.375,47914,65807,23121,0.047058108,1,8.279741997,0,75348,699210,623862,0.016533659,Cancer,301897,0.215926972,Epithelial
COAD15#COAD15_C1_D_49_337,COAD15_C1_D_49_337,COAD15,P10,5.592,72876,99873,21847,0.072090586,1,7.118455751,0,85323,692691,607368,0.015769658,Cancer,371887,0.268472476,Epithelial
COAD15#COAD15_C1_BC_96_192,COAD15_C1_BC_96_192,COAD15,P10,5.802,77344,107391,22476,0.079725821,1,5.326219684,0,106462,673502,567040,0.016685919,Cancer,412068,0.306006692,Epithelial
COAD15#COAD15_C1_D_93_381,COAD15_C1_D_93_381,COAD15,P10,5.142,69963,99799,16823,0.074967173,1,4.846857926,0,113842,665618,551776,0.012637128,Cancer,436646,0.328035928,Epithelial
COAD15#COAD15_C2_D_76_364,COAD15_C2_D_76_364,COAD15,P10,6.267,89432,125836,14958,0.095200196,1,3.876713744,0,135522,660902,525380,0.011316353,Cancer,457201,0.34596182,Epithelial
COAD15#COAD15_C2_BC_58_154,COAD15_C2_BC_58_154,COAD15,P10,6.205,101163,137681,15619,0.106794196,1,3.59162464,0,140388,644609,504221,0.012115096,Cancer,489001,0.379344612,Epithelial
COAD15#COAD15_C2_BC_74_170,COAD15_C2_BC_74_170,COAD15,P10,6.767,69295,91443,20069,0.071148469,1,5.767922402,0,94951,642621,547670,0.015614958,Cancer,363699,0.283042171,Epithelial
COAD15#COAD15_C1_A_10_10,COAD15_C1_A_10_10,COAD15,P10,5.215,35108,52062,36659,0.042746299,1,8.65522982,0,63071,608965,545894,0.030099431,Cancer,262862,0.215879675,Epithelial
COAD15#COAD15_C2_BC_40_136,COAD15_C2_BC_40_136,COAD15,P10,6.343,62659,82958,18673,0.07095995,1,4.709356045,0,102383,584541,482158,0.015972361,Cancer,331209,0.283416479,Epithelial
COAD15#COAD15_C2_BC_73_169,COAD15_C2_BC_73_169,COAD15,P10,5.919,58194,82755,22492,0.07088927,1,5.872867286,0,84927,583692,498765,0.019267011,Cancer,288263,0.246983637,Epithelial
